in.position.x,in.position.y,in.forward_vector.x,in.forward_vector.y,in.speed_ms,in.steering_angle_deg,vaste.whalbase_position.x,vaste.whalbase_position.y,vaste.front_axle_position.x,vaste.front_axle_position.y,vaste.rear_axle_position.x,vaste.rear_axle_position.y,vaste.forward_vector.x,vaste.forward_vector.y,vaste.result.acceleration,vaste.result.steering_angle_deg,control_point_distance_to_path
22.0216411,19.5300005,-0.7071070,0.7071066,0.0000000,0.0000000,22.0216411,19.5300005,20.6781379,20.8735031,23.3651443,18.1864980,-0.7071070,0.7071066,1.0000000,0.0000000,-0.3348149
22.0216411,19.5300005,-0.7071070,0.7071066,0.0000000,0.0000000,22.0216411,19.5300005,20.6781379,20.8735031,23.3651443,18.1864980,-0.7071070,0.7071066,1.0000000,0.0000000,-0.3347428
22.0216411,19.5300005,-0.7071070,0.7071066,0.0000000,0.0000000,22.0216411,19.5300005,20.6781379,20.8735031,23.3651443,18.1864980,-0.7071070,0.7071066,1.0000000,0.0000000,-0.3347479
22.0216411,19.5300005,-0.7071070,0.7071066,0.0000000,0.0000000,22.0216411,19.5300005,20.6781379,20.8735031,23.3651443,18.1864980,-0.7071070,0.7071066,1.0000000,0.0000000,-0.3347483
22.0216411,19.5300005,-0.7071070,0.7071066,0.0000000,0.0000000,22.0216411,19.5300005,20.6781379,20.8735031,23.3651443,18.1864980,-0.7071070,0.7071066,1.0000000,0.0000000,-0.3347483
22.0216466,19.5299965,-0.7071070,0.7071066,0.0025334,0.0000000,22.0216466,19.5299965,20.6781434,20.8734990,23.3651499,18.1864939,-0.7071070,0.7071066,0.9991555,0.0000000,-0.3347501
22.0216466,19.5299965,-0.7071070,0.7071066,0.0025334,0.0000000,22.0216466,19.5299965,20.6781434,20.8734990,23.3651499,18.1864939,-0.7071070,0.7071066,0.9991555,0.0000000,-0.3347501
22.0216466,19.5299965,-0.7071070,0.7071066,0.0007271,0.0000000,22.0216466,19.5299965,20.6781434,20.8734990,23.3651499,18.1864939,-0.7071070,0.7071066,0.9997576,0.0000000,-0.3347501
22.0216429,19.5299985,-0.7071070,0.7071066,0.0007271,0.0000000,22.0216429,19.5299985,20.6781397,20.8735011,23.3651461,18.1864960,-0.7071070,0.7071066,0.9997576,0.0000000,-0.3347485
22.0216429,19.5299985,-0.7071070,0.7071066,0.0007271,0.0000000,22.0216429,19.5299985,20.6781397,20.8735011,23.3651461,18.1864960,-0.7071070,0.7071066,0.9997576,0.0000000,-0.3347485
22.0216374,19.5300045,-0.7071070,0.7071066,0.0000662,0.0000000,22.0216374,19.5300045,20.6781342,20.8735070,23.3651406,18.1865019,-0.7071070,0.7071066,0.9999779,0.0000000,-0.3347479
22.0216374,19.5300045,-0.7071070,0.7071066,0.0000662,0.0000000,22.0216374,19.5300045,20.6781342,20.8735070,23.3651406,18.1865019,-0.7071070,0.7071066,0.9999779,0.0000000,-0.3347479
22.0216374,19.5300045,-0.7071070,0.7071066,0.0004260,0.0000000,22.0216374,19.5300045,20.6781342,20.8735070,23.3651406,18.1865019,-0.7071070,0.7071066,0.9998580,0.0000000,-0.3347479
22.0216300,19.5300105,-0.7071070,0.7071066,0.0004260,0.0000000,22.0216300,19.5300105,20.6781268,20.8735131,23.3651332,18.1865080,-0.7071070,0.7071066,0.9998580,0.0000000,-0.3347458
22.0216300,19.5300105,-0.7071070,0.7071066,0.0004260,0.0000000,22.0216300,19.5300105,20.6781268,20.8735131,23.3651332,18.1865080,-0.7071070,0.7071066,0.9998580,0.0000000,-0.3347458
22.0216283,19.5300144,-0.7071070,0.7071066,0.0005580,0.0000000,22.0216283,19.5300144,20.6781250,20.8735170,23.3651315,18.1865119,-0.7071070,0.7071066,0.9998140,0.0000000,-0.3347469
22.0216283,19.5300144,-0.7071070,0.7071066,0.0005580,0.0000000,22.0216283,19.5300144,20.6781250,20.8735170,23.3651315,18.1865119,-0.7071070,0.7071066,0.9998140,0.0000000,-0.3347469
22.0216283,19.5300144,-0.7071054,0.7071081,0.0783469,0.0000000,22.0216283,19.5300144,20.6781279,20.8735198,23.3651286,18.1865090,-0.7071054,0.7071081,0.9738844,0.0000000,-0.3347428
22.0201511,19.5316146,-0.7071054,0.7071081,0.0783469,0.0000000,22.0201511,19.5316146,20.6766507,20.8751200,23.3636514,18.1881091,-0.7071054,0.7071081,0.9738844,0.0000000,-0.3345810
