x;y
26.9574;13.0654
26.9574;13.0654
26.9574;13.0654
26.9493;13.0658
26.9497;13.0769
26.9497;13.0769
26.9497;13.0769
26.9497;13.0769
26.9499;13.077
26.9499;13.077
26.9499;13.077
26.9418;13.0773
26.9418;13.0773
26.9418;13.0773
26.9422;13.0884
26.9422;13.0884
26.9422;13.0884
26.9422;13.0884
26.9422;13.0884
26.9422;13.0884
26.9422;13.0884
26.9342;13.0889
26.9342;13.0889
26.9342;13.0889
26.9342;13.0889
26.9341;13.0888
26.9346;13.0999
26.9346;13.0999
26.9346;13.0999
26.9346;13.0999
26.9346;13.0999
26.9346;13.0999
26.9264;13.1002
26.9264;13.1002
26.9264;13.1002
26.9264;13.1002
26.9264;13.1002
26.9264;13.1002
26.9264;13.1002
26.9264;13.1002
26.9264;13.1002
26.9269;13.1113
26.9269;13.1113
26.9269;13.1113
26.9269;13.1113
26.9269;13.1113
26.9269;13.1113
26.9188;13.1117
26.9188;13.1117
26.9186;13.1116
26.9186;13.1116
26.9186;13.1116
26.9186;13.1116
26.9186;13.1116
26.9186;13.1116
26.9186;13.1116
26.9186;13.1116
26.9186;13.1116
26.9186;13.1116
26.9186;13.1116
26.9191;13.1227
26.9191;13.1227
26.9191;13.1227
26.9191;13.1227
26.9191;13.1227
26.9191;13.1227
26.9191;13.1227
26.9191;13.1227
26.9191;13.1227
26.911;13.123
26.911;13.123
26.911;13.123
26.911;13.123
26.9111;13.1231
26.9111;13.1231
26.9111;13.1231
26.9111;13.1231
26.9111;13.1231
26.9111;13.1231
26.9111;13.1231
26.9116;13.1342
26.9035;13.1346
26.9035;13.1346
26.9035;13.1346
26.9035;13.1346
26.9035;13.1346
26.8958;13.146
26.8958;13.146
26.8958;13.146
26.8882;13.1575
26.888;13.1573
26.888;13.1573
26.8804;13.1688
26.8804;13.1688
26.8722;13.1691
26.8727;13.1802
26.8646;13.1806
26.865;13.1917
26.8571;13.1921
26.8575;13.2032
26.8494;13.2036
26.85;13.2148
26.8419;13.2152
26.8344;13.2267
26.8344;13.2267
26.8269;13.2383
26.8192;13.2497
26.8194;13.2499
26.8117;13.2613
26.8042;13.2729
26.7965;13.2843
26.7965;13.2843
26.7808;13.2961
26.7731;13.3076
26.7736;13.3187
26.7659;13.3301
26.7579;13.3306
26.7503;13.342
26.7426;13.3535
26.735;13.3649
26.7273;13.3764
26.7197;13.3878
26.704;13.3997
